OrganizationFormalName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,CharacteristicName,MonitoringLocationIdentifier,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultMeasureValue,ResultMeasure.MeasureUnitCode,ResultSampleFractionText,ResultAnalyticalMethod.MethodName,MethodDescriptionText,ProviderName,siteTimes
Bureau of Reclamation,2013-07-10,11:40:00,MDT,temperature,1119USBR_WQX-PAL006,Grab,Water Bottle,13.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL006
Bureau of Reclamation,2013-07-10,11:40:00,MDT,pH,1119USBR_WQX-PAL006,Grab,Water Bottle,7.48,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL006
Bureau of Reclamation,2013-07-10,12:02:00,MDT,pH,1119USBR_WQX-PAL005,Grab,Water Bottle,8.28,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL005
Bureau of Reclamation,2013-07-10,12:39:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,16.7,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2013-07-10,12:08:00,MDT,temperature,1119USBR_WQX-PAL005,Grab,Water Bottle,19.0,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL005
Bureau of Reclamation,2013-07-09,11:42:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.01,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-09_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-06-26,17:52:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.22,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-06-26_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2013-06-25,11:05:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,6.9,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-06-25,11:05:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,14.7,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-07-10,11:30:00,MDT,pH,1119USBR_WQX-PAL006,Grab,Water Bottle,7.89,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL006
Bureau of Reclamation,2013-07-09,11:26:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,10.2,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-09_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-07-10,12:49:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,10.8,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL008
