siteId,date,phMean,phMax,phMin,phSd,phCnt,caMean,caMax,caMin,caSd,caCnt,tempMean,tempMax,tempMin,tempSd,tempCnt,uniqueSiteDates
1119USBR_WQX-PAL006,2013-07-10,7.815,8.31,7.2,0.37705879294,16.0,32.0,32.5,31.5,0.707106781187,2.0,16.3857142857,20.2,11.5,3.0242245396,14.0,2013-07-10_break_1119USBR_WQX-PAL006
1119USBR_WQX-PAL005,2013-07-10,7.98,8.3,7.4,0.312483845736,14.0,34.4,35.0,33.8,0.848528137424,2.0,17.5666666667,20.0,14.1,2.26367895786,12.0,2013-07-10_break_1119USBR_WQX-PAL005
1119USBR_WQX-PAL008,2013-07-10,7.7125,8.21,7.05,0.396270441943,20.0,40.0,48.4,31.6,11.8793939239,2.0,14.4777777778,20.1,6.7,4.7595792641,18.0,2013-07-10_break_1119USBR_WQX-PAL008
1119USBR_WQX-JAC001,2013-07-09,7.28466666667,7.87,6.9,0.297558317613,15.0,14.2,14.5,13.9,0.424264068712,2.0,8.98461538462,18.8,5.6,4.46688671482,13.0,2013-07-09_break_1119USBR_WQX-JAC001
1119USBR_WQX-PAL008,2013-06-26,7.575,8.04,7.07,0.328476877152,18.0,43.3,51.4,35.2,11.4551298552,2.0,12.2055555556,16.6,6.2,3.56394893708,18.0,2013-06-26_break_1119USBR_WQX-PAL008
1119USBR_WQX-JAC001,2013-06-25,7.19928571429,7.47,6.7,0.257904701711,14.0,14.3,14.5,14.1,0.282842712475,2.0,10.2666666667,14.7,5.8,3.61344291459,12.0,2013-06-25_break_1119USBR_WQX-JAC001
1119USBR_WQX-JAC001,2013-08-20,7.42142857143,8.05,6.8,0.354809963065,14.0,13.8,14.0,13.6,0.282842712475,2.0,10.8416666667,18.9,6.4,4.96834677704,12.0,2013-08-20_break_1119USBR_WQX-JAC001
1119USBR_WQX-PAL007,2013-07-10,7.84090909091,7.95,7.5,0.124294371993,11.0,31.1,31.6,30.3,0.7,3.0,18.325,19.5,17.5,0.627352714644,8.0,2013-07-10_break_1119USBR_WQX-PAL007
1119USBR_WQX-JAC101,2013-07-09,7.32,7.44,7.2,0.169705627485,2.0,14.0,14.0,14.0,,1.0,13.5,13.5,13.5,,1.0,2013-07-09_break_1119USBR_WQX-JAC101
1119USBR_WQX-PAL008,2014-07-29,7.43952380952,8.2,6.81,0.371974141446,21.0,38.65,40.5,36.8,2.61629509039,2.0,14.4421052632,20.3,7.8,4.19607168002,19.0,2014-07-29_break_1119USBR_WQX-PAL008
1119USBR_WQX-PAL007,2014-07-29,7.7225,8.3,7.38,0.260179134095,12.0,38.75,42.2,35.3,4.87903679019,2.0,17.67,20.5,11.2,2.83511708557,10.0,2014-07-29_break_1119USBR_WQX-PAL007
1119USBR_WQX-PAL101,2014-07-29,7.3,7.3,7.3,0.0,2.0,34.6,34.6,34.6,,1.0,13.9,13.9,13.9,,1.0,2014-07-29_break_1119USBR_WQX-PAL101
11NPSWRD_WQX-GRTE_SNR01,2014-06-04,7.66,7.66,7.66,,1.0,8.9,9.4,8.4,0.707106781187,2.0,8.91,8.91,8.91,,1.0,2014-06-04_break_11NPSWRD_WQX-GRTE_SNR01
1119USBR_WQX-PAL008,2014-06-24,7.647,8.5,7.28,0.306681731133,20.0,36.9666666667,39.3,35.4,2.05993527406,3.0,11.6176470588,15.0,8.0,2.23501546251,17.0,2014-06-24_break_1119USBR_WQX-PAL008
1119USBR_WQX-JAC001,2014-06-25,6.982,7.44,6.42,0.382962139121,15.0,13.55,13.9,13.2,0.494974746831,2.0,8.92307692308,15.7,4.7,3.78024554894,13.0,2014-06-25_break_1119USBR_WQX-JAC001
1119USBR_WQX-JAC001,2014-08-19,7.06866666667,7.66,6.68,0.357887984604,15.0,14.3,14.9,13.7,0.848528137424,2.0,11.6384615385,19.1,5.8,5.06220282445,13.0,2014-08-19_break_1119USBR_WQX-JAC001
1119USBR_WQX-JAC001,2014-07-31,6.88266666667,7.72,4.6,0.741450958466,15.0,13.55,13.9,13.2,0.494974746831,2.0,10.3384615385,19.3,5.6,5.39591488405,13.0,2014-07-31_break_1119USBR_WQX-JAC001
1119USBR_WQX-PAL008,2014-07-22,7.6980952381,9.97,6.99,0.61794513549,21.0,37.75,39.8,35.7,2.89913780286,2.0,14.7,20.1,8.1,4.22190057254,19.0,2014-07-22_break_1119USBR_WQX-PAL008
WYDEQ_WATERSHED-MRW1,2014-09-04,8.26,8.26,8.26,,1.0,44.0,44.0,44.0,,1.0,5.08,5.08,5.08,,1.0,2014-09-04_break_WYDEQ_WATERSHED-MRW1
1119USBR_WQX-PAL005,2014-07-29,7.61125,8.2,7.09,0.315592036232,16.0,35.8,36.2,35.4,0.565685424949,2.0,16.4428571429,20.4,12.0,2.80266748919,14.0,2014-07-29_break_1119USBR_WQX-PAL005
1119USBR_WQX-PAL008,2014-05-28,7.96526315789,8.5,7.58,0.310615310867,19.0,45.1,48.1,42.5,2.86705423737,4.0,8.76666666667,13.8,4.9,3.12493809462,15.0,2014-05-28_break_1119USBR_WQX-PAL008
11NPSWRD_WQX-GRTE_SNR02,2014-06-05,7.92,7.92,7.92,,1.0,15.45,15.7,15.2,0.353553390593,2.0,7.81,7.81,7.81,,1.0,2014-06-05_break_11NPSWRD_WQX-GRTE_SNR02
