OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-424912110500700,"WILLOW CREEK SNOW SITE, WY",Land,,17040105,,,,,42.82,-110.8352778,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7918,feet,50,feet,Global Positioning System.,NAVD88,US,56,023,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-433603110522100,"RENDEZVOUS MOUNTAIN SNOW SITE, WY",Land,,17040103,,,,,43.6008333,-110.8725,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,9971,feet,50,feet,Global Positioning System.,NAVD88,US,56,039,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-433618110440200,"JACKSON HOLE AIRPORT SNOW SITE, WY",Land,,17040101,,,,,43.605,-110.7338889,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6435,feet,50,feet,Global Positioning System.,NAVD88,US,56,039,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-434236110451300,"GARNET CANYON SNOW SITE, WY",Land,,17040101,,,,,43.71,-110.7536111,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7131,feet,50,feet,Global Positioning System.,NAVD88,US,56,039,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-434900110160000,"FOUR MILE MEADOW SNOW SITE, WY",Land,,17040101,,,,,43.8235,-110.2651556,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,7891,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,56,039,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-440812110395500,"SOUTH ENTRANCE YNP SNOW SITE, WY",Land,,17040101,,,,,44.1366667,-110.6652778,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6878,feet,50,feet,Global Positioning System.,NAVD88,US,56,039,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-440812110400300,"SOUTH ENTRANCE YNP SNOW SITE (IN ROAD), WY",Land,,17040101,,,,,44.1366667,-110.6675,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6888,feet,50,feet,Global Positioning System.,NAVD88,US,56,039,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-441158110393400,"LEWIS LAKE DIVIDE SNOW SITE (IN ROAD), WY",Land,,17040101,,,,,44.1994444,-110.6594444,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7731,feet,50,feet,Global Positioning System.,NAVD88,US,56,039,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-441158110393800,"LEWIS LAKE DIVIDE SNOW SITE, WY",Land,,17040101,,,,,44.1994444,-110.6605556,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7751,feet,50,feet,Global Positioning System.,NAVD88,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13008500,SHOSHONE LAKE OUTLET NR WEST THUMB YELLOWSTONE,Stream,,17040101,,,,,44.3499378,-110.6507638,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13009000,"LEWIS RIVER NR OUTLET OF LEWIS LAKE, WY",Stream,,17040101,,,,,44.2666089,-110.4674249,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13009100,ASTER CREEK BL LEWIS LAKE IN YELLOWSTONE NTL PK WY,Stream,,17040101,,,,,44.2666089,-110.4674249,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13009500,LEWIS RIVER NR MOUTH NR SOUTH BOUNDARY YNP WY,Stream,,17040101,,,,,44.1499381,-110.6674317,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13010000,SNAKE RIVER AT S BOUNDARY OF YELLOWSTONE NATL PARK,Stream,,17040101,485,sq mi,,,44.1336111,-110.6647222,24000,1,seconds,Interpolated from MAP.,NAD83,6880.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13010065,SNAKE RIVER AB JACKSON LAKE AT FLAGG RANCH WY,Stream,,17040101,486,sq mi,486,sq mi,44.0988889,-110.6675,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6801.61,feet,.01,feet,Level or other surveyed method.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13010170,POLECAT CREEK NR FLAGG RANCH WY,Stream,,17040101,,,,,44.108549,-110.6840992,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
